Id,Year_Birth,Education
1826,1970,Graduation
1,1961,Graduation
10476,1958,Graduation
1386,1967,Graduation
5371,1989,Graduation
7348,1958,PhD
4073,1954,2n Cycle
1991,1967,Graduation
4047,1954,PhD
9477,1954,PhD
2079,1947,2n Cycle
5642,1979,Master
10530,1959,PhD
2964,1981,Graduation
10311,1969,Graduation
837,1977,Graduation
10521,1977,Graduation
10175,1958,PhD
1473,1960,2n Cycle
2795,1958,Master
2285,1954,Master
115,1966,Master
10470,1979,Master
4065,1976,PhD
10968,1969,Graduation
5985,1965,Master
5430,1956,Graduation
8432,1956,Graduation
453,1956,PhD
9687,1975,Graduation
8890,1971,PhD
9264,1986,Graduation
5824,1972,PhD
5794,1974,PhD
3068,1990,Graduation
7962,1987,PhD
2681,1984,2n Cycle
10141,1960,Master
3725,1961,PhD
3767,1968,Graduation
5585,1972,Graduation
7030,1955,PhD
1524,1983,2n Cycle
3657,1986,Graduation
5740,1970,2n Cycle
9595,1961,Graduation
3158,1973,Graduation
5114,1965,Master
340,1970,Graduation
8805,1960,Graduation
1241,1984,2n Cycle
1402,1954,Master
7264,1978,2n Cycle
1619,1956,Graduation
6398,1974,Basic
1857,1952,Graduation
4877,1973,Master
3066,1975,PhD
10286,1962,Graduation
1992,1964,Graduation
4246,1982,Master
10623,1961,Master
4867,1968,PhD
3112,1977,Master
4865,1974,Master
6287,1986,Graduation
4405,1956,Master
5332,1960,2n Cycle
1519,1972,PhD
9080,1972,PhD
1772,1975,PhD
5341,1962,2n Cycle
5510,1977,Master
3887,1970,Graduation
7022,1971,Graduation
9999,1965,Graduation
10352,1963,Graduation
7919,1976,PhD
4114,1964,Master
7990,1947,Graduation
9888,1969,Graduation
4399,1969,Graduation
4452,1957,Graduation
4785,1970,PhD
8461,1962,Graduation
3878,1980,2n Cycle
9612,1987,2n Cycle
4098,1973,Graduation
158,1945,PhD
3896,1984,Graduation
9970,1977,Graduation
4002,1960,PhD
10914,1970,Graduation
7279,1969,PhD
10582,1979,Graduation
4470,1962,Master
6183,1962,Master
6379,1949,Master
8601,1980,Graduation
4827,1956,PhD
6715,1948,PhD
10676,1982,Graduation
1041,1973,PhD
492,1973,PhD
11133,1973,PhD
4491,1949,Master
873,1949,Master
1631,1965,PhD
8278,1990,PhD
6815,1980,2n Cycle
254,1955,Graduation
1349,1970,Graduation
2534,1953,Graduation
2130,1982,Graduation
2296,1975,Master
3799,1955,Graduation
11084,1976,Master
5172,1976,Master
9504,1949,Master
850,1968,Graduation
4477,1958,Graduation
1945,1962,Graduation
7685,1978,Graduation
6310,1978,Graduation
10832,1958,Graduation
3025,1958,Graduation
2404,1976,Graduation
8581,1971,Master
8755,1946,Master
10177,1954,Graduation
2429,1954,Graduation
8920,1967,Master
8430,1957,Graduation
8619,1957,Graduation
8996,1957,PhD
7233,1972,Graduation
6678,1989,Graduation
830,1987,PhD
6365,1987,2n Cycle
6770,1985,Graduation
2261,1969,Graduation
1031,1989,2n Cycle
10089,1974,Graduation
9256,1971,Graduation
10641,1978,Graduation
624,1984,Master
4211,1986,Basic
1407,1986,Basic
10356,1957,PhD
9323,1949,Master
